,0
aer503-titanic-exploring-survival-and-random-forest-test,0.751
quark6-titanic-work,0.754
abhinavralhan-exploring-survival-on-the-titanic,0.744
mhamano-titanic-r-script,0.744
felixhalim-exploring-survival-on-the-titanic,0.744
nithishthirmul-titanic-data-test1,0.744
beovulfo-titanic-work-for-beginners,0.775
aeintngon-titanic-exploratory-analysis,0.751
qianbi-titanic-voting-2,0.756
anweshaghosh-titanic-forkofmultiplescripts-r,0.763
cdeotte-titanic-spam-filter,0.742
danr87946-titanic-practice,0.758
pliptor-optimal-titanic-for-pclass-only-0-65550,0.699
wongalan2002-titanic-with-neural-network,0.713
frank5547-my-solution-to-titanic-for-now,0.761
phoanghuong86-exploring-survival-on-the-titanic,0.744
mchatham-exploring-survival-on-the-titanic01,0.744
maza91-titanic-neural-network-try,0.761
shridhar1991-exploring-survival-on-the-titanic,0.744
karlkonz-exploring-the-titanic-dataset-with-r,0.761
atuljjoshi05-titanic-random-forest,0.756
ravikrishnareddy-titanic-survival-prediction,0.751
bwozniak-titanic-in-r,0.761
divy44-titanic1,0.648
aer503-svm-for-titanic,0.737
tjbaur-exploring-survival-on-the-titanic,0.746
qianbi-titanic-svm,0.754
nozzo1-my-titanic-r-entry-2,0.754
leedongkyu-exploring-survival-on-the-titanic,0.744
jasonhit-first-script-for-kaggle-titanic,0.758
hisnibs-titanic-enhancing-the-training-data-and-kis,0.78
krietallo64-exploring-survival-on-the-titanic,0.744
arpitr-titanic-survival,0.751
dataninja2014-exploring-survival-on-the-titanic,0.744
pradeeptripathi-prediction-of-titanic-survival-using-r,0.751
dasbeste-exploring-survival-on-the-titanic,0.744
divyasshree-titanic-ml-club,0.713
sylphsangeeta-titanic,0.754
brirush-svm-for-titanic,0.737
msantos68-exploring-survival-on-the-titanic,0.742
kasturimitra-titanic,0.758
cganxs-is-62-the-right-titanic-model-threshold,0.792
srikantjyrmn-titanic-survivor,0.746
joelweiss-titanic-data-r,0.751
jaimisk-titanic-survival-logistic-regression,0.746
monikapeteva-predictive-analysis-of-survival-rate-on-titanic,0.758
seajaye-titanic-logistic-regression-0-78947,0.763
researchbigd-titanic-r-researchbigd,0.758
