,names,accuracies
128,lashkare-simple-yet-effective-titanic-solution,0.766
129,econdata-titanic-datasets-ml-with-r-journey-to-top-1,0.9
130,retrospectprospect-titanic-machine-learning-from-eda-to-xgb,0.763
131,terfilip-titanic,0.763
132,caliphcheng-titanic-analysis-using-r,0.758
133,ccheng2016-titanic-survival,0.744
134,mmaguero-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
135,biohazzzard-titanic-with-tidyverse-and-caret,0.746
136,brirush-naive-bayes-for-titanic,0.761
137,ammara-titanic-competition-using-boosting,0.763
138,amodi8-titanic-exploring-survival-using-machine-learning,0.744
139,monikapeteva-who-all-survived-the-titanic-3b45d7,0.773
140,odujokod-exploring-survival-on-the-titanic,0.744
141,pranavsid-analyzing-the-titanic-disaster,0.768
142,srikanthnuka-titanic-not-all-family-specified-on-boarded,0.722
143,cardoso-titanic-women-and-children-first,0.751
144,alexgomes3-titanic-with-r-datacamp-tutorial,0.754
145,deltaforce126-titanic-randomforest,0.763
146,rivinwita-exploring-survival-on-the-titanic-test,0.744
147,pengelinliu-exploring-survival-on-the-titanic-peng,0.744
148,wjsutton-exploring-surviving-the-titanic,0.77
149,garciparedes-titanic-getting-started,0.756
150,domini-titanic-data-exploration-and-modelling,0.742
151,dylanmj-exploring-survival-on-the-titanic,0.744
152,pradeeptripathi-prediction-of-titanic-survival-using-random-forest,0.751
153,thilakshasilva-predicting-titanic-survival-using-five-algorithms,0.737
154,alexandrakp-exploring-survival-on-the-titanic,0.744
155,lukeschmerold-exploring-survival-on-the-titanic,0.746
156,turntrout-titanic-data-exploration,0.763
157,rahul169-titanic-prediction,0.129
158,lisastuart-exploring-survival-on-the-titanic,0.749
159,petrodatatoenergy-exploring-survival-on-the-titanic,0.744
160,manskj-machine-learning-and-titanic,0.763
161,ronchi-project-titanic,0.768
162,djohnbar-fork-of-titanic-rf-w-titles,0.756
163,kikishmiki-titanic-passenger-survival-prediction,0.766
164,aer503-titanic-exploring-survival-and-random-forest-test,0.751
165,quark6-titanic-work,0.754
166,abhinavralhan-exploring-survival-on-the-titanic,0.744
167,mhamano-titanic-r-script,0.744
