,names,accuracies
127,brirush-randomforest-implementation-of-titanic,0.758
128,zhaotianjing-titanic,0.648
129,lashkare-simple-yet-effective-titanic-solution,0.766
130,econdata-titanic-datasets-ml-with-r-journey-to-top-1,0.9
131,retrospectprospect-titanic-machine-learning-from-eda-to-xgb,0.763
132,terfilip-titanic,0.763
133,caliphcheng-titanic-analysis-using-r,0.742
134,ccheng2016-titanic-survival,0.744
135,mmaguero-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
136,biohazzzard-titanic-with-tidyverse-and-caret,0.751
137,brirush-naive-bayes-for-titanic,0.761
138,ammara-titanic-competition-using-boosting,0.763
139,amodi8-titanic-exploring-survival-using-machine-learning,0.744
140,monikapeteva-who-all-survived-the-titanic-3b45d7,0.773
141,odujokod-exploring-survival-on-the-titanic,0.744
142,pranavsid-analyzing-the-titanic-disaster,0.768
143,srikanthnuka-titanic-not-all-family-specified-on-boarded,0.732
144,cardoso-titanic-women-and-children-first,0.751
145,alexgomes3-titanic-with-r-datacamp-tutorial,0.754
146,deltaforce126-titanic-randomforest,0.763
147,rivinwita-exploring-survival-on-the-titanic-test,0.744
148,pengelinliu-exploring-survival-on-the-titanic-peng,0.744
149,wjsutton-exploring-surviving-the-titanic,0.77
150,garciparedes-titanic-getting-started,0.756
151,domini-titanic-data-exploration-and-modelling,0.742
152,dylanmj-exploring-survival-on-the-titanic,0.744
153,pradeeptripathi-prediction-of-titanic-survival-using-random-forest,0.751
154,thilakshasilva-predicting-titanic-survival-using-five-algorithms,0.737
155,alexandrakp-exploring-survival-on-the-titanic,0.744
156,lukeschmerold-exploring-survival-on-the-titanic,0.746
157,turntrout-titanic-data-exploration,0.763
158,rahul169-titanic-prediction,0.129
159,lisastuart-exploring-survival-on-the-titanic,0.749
160,petrodatatoenergy-exploring-survival-on-the-titanic,0.744
161,manskj-machine-learning-and-titanic,0.763
162,ronchi-project-titanic,0.768
163,djohnbar-fork-of-titanic-rf-w-titles,0.756
164,kikishmiki-titanic-passenger-survival-prediction,0.766
165,aer503-titanic-exploring-survival-and-random-forest-test,0.751
166,quark6-titanic-work,0.754
