,dir,t,accuracies
45,alejandrorivas-titanic-beginners-principiantes-espa-ol,54.89250493049621,0.744
46,alexalexi-playing-with-titanic-data,3.16002297401428,
47,alexandrakp-exploring-survival-on-the-titanic,24.9546051025391,0.744
48,alexandrarp-titanic-predictive-model-3-features-81-59,2.05637693405151,
49,alexgomes3-titanic-with-r-datacamp-tutorial,0.729453086853027,0.754
50,alexindata-titanic-kernel-1st-run-r-caret-random-forest,1.87315583229065,
51,alfonzo-exploring-survival-on-the-titanic,25.913869142532302,0.744
52,allanwbrooks-exploring-survival-on-the-titanic,25.4450800418854,0.751
53,allwin-my-first-decision-tree-titanic-preds,0.23367810249328602,
54,alma123-titanic,4.5197851657867405,0.737
55,aloff41-titanic,0.208092927932739,
56,aloktyagi1986-titanic-alok,0.67094612121582,
57,alosat-titanic-eda-ctree,1.3352799415588401,
58,alosat-titanic-eda-plus-solution,1.26496005058289,
59,alphoroz-titanic-survival,0.30346989631652804,
60,alwortman-titanic-test-script,1.98154592514038,0.754
61,amazzawi-titanic,1.19881892204285,
62,ambalika-titanic-survival-analysis,0.601934909820557,
63,amberthomas-predicting-survival-on-the-titanic,2.9247510433197004,
64,ambika04-titanic,0.39512801170349104,
65,ambika04-titanic4,0.39891481399536105,
66,ambikanair-exploring-survival-on-the-titanic,25.5769791603088,0.744
67,amit2312-titanic,0.457870960235596,
68,amitchauhan-machine-learning-titanic-1st,0.789212942123413,
69,amitjena05-titanic-data-analysis-in-r,0.0576319694519043,
70,ammara-titanic-competition-script-using-rf-2,3.6690070629119904,0.749
71,ammara-titanic-competition-using-boosting,3.2013139724731405,0.763
72,ammara-titanic-competition-using-xgboost,1.1888020038604699,
73,amodi8-titanic-exploring-survival-using-machine-learning,0.756253957748413,0.744
74,amoyakd-titanic-randomforrest-v1-2,58.2196931838989,
75,amrnasr-exploring-survival-on-the-titanic,0.7821509838104251,
76,amuthand-a-titanic-unpredicted-disaster-predicted,4.13554692268372,0.766
77,analyticsdojo-titanic-baseline-models-analyticsdojo-r,0.23537492752075198,0.648
78,anandpatil20-exploring-survival-on-the-titanic,0.7842590808868409,
79,ananthvikram-logistic-regression-dt-rf-nb-for-titanic,0.459546089172363,
80,andrecn-random-forest-caret-model-prediction-titanic,35.451544046402,0.756
81,andreistar-exploring-survival-on-the-titanic,0.19923114776611303,
82,andrewl67-titanic,1.8456339836120599,
83,andrewolney-titanic-predict-fare-lab-3,6.03361701965332,
84,andreykoceruba-titanic,0.606353998184204,
85,andybega-titanic,0.828729867935181,
86,andyxie-explore-titanic-survival-data,0.0364120006561279,
87,andyxie-titanic-data-cleaning-and-feature-engineering,0.757091999053955,
88,animatorumor-titanic-data-science-solutions,0.188755989074707,
89,anirbanshaw24-titanic-keras-r,0.219105958938599,
90,anirudhkunte-titanic,0.254072904586792,
91,anish91237-titanic-1st-attempt,0.20144891738891602,
92,anishmayaramka-the-titanic-datset,25.020864963531498,0.744
93,anishmayaramka-the-titanic-problem,26.8046338558197,0.744
94,ankurnepalia-predictingtitanicsurvivors,0.668752193450928,
95,annafreydenzon-titanic-machine-learning-from-disaster,23.6417210102081,0.756
96,annseb-titanic-as,0.332939863204956,
97,anonymous6-titanic,0.291014909744263,
98,antagomir-exploring-survival-on-the-titanic,0.782285928726196,
99,anthobau-random-forest-titanic,5.55764198303223,0.737
100,antonov-logistic-regression-for-titanic,0.560991048812866,0.766
101,anubrata-titanic,0.0433290004730225,
102,anuj10121997-titanic,0.6393678188323969,
103,anushriyapal-r-trial-titanic,0.30619120597839394,
104,anusiec-new-titanic,0.21793699264526398,
105,anusiec-titanic,0.298343896865845,
