,0
rkumar3147-exploring-survival-on-the-titanic1,0.5
overdose-titanic-basic-modelling,0.758
albyedw-titanic-competition,0.734
nshrest-titanic-a-very-first-step-54f223,0.768
goblin-titanic-test,0.758
rogrezende-titanic-sinking-analysis,0.675
qianbi-titanic-randomforest,0.758
vizcharlie-exploring-survival-on-the-titanic,0.5
mullayilkannan-decision-tree-titanic,0.744
qianbi-titanic-logistic-2,0.751
jeetranjeet619-titanic-dataset-play-around-in-r,0.749
panda1023-svm-example-for-titanic,0.754
zakhumalo-fork-of-titanic-problem-attempt-1,0.77
narinder-titanic-survival-prediction,0.754
zhaotianjing-titanic,0.648
retrospectprospect-titanic-machine-learning-from-eda-to-xgb,0.763
ccheng2016-titanic-survival,0.648
brirush-naive-bayes-for-titanic,0.761
amodi8-titanic-exploring-survival-using-machine-learning,0.744
monikapeteva-who-all-survived-the-titanic-3b45d7,0.773
pranavsid-analyzing-the-titanic-disaster,0.768
alexgomes3-titanic-with-r-datacamp-tutorial,0.754
wjsutton-exploring-surviving-the-titanic,0.77
domini-titanic-data-exploration-and-modelling,0.742
turntrout-titanic-data-exploration,0.763
rahul169-titanic-prediction,0.132
manskj-machine-learning-and-titanic,0.763
ronchi-project-titanic,0.768
djohnbar-fork-of-titanic-rf-w-titles,0.756
abhinavralhan-exploring-survival-on-the-titanic,0.744
nithishthirmul-titanic-data-test1,0.744
aeintngon-titanic-exploratory-analysis,0.751
qianbi-titanic-voting-2,0.744
anweshaghosh-titanic-forkofmultiplescripts-r,0.763
cdeotte-titanic-spam-filter,0.742
danr87946-titanic-practice,0.758
wongalan2002-titanic-with-neural-network,0.713
maza91-titanic-neural-network-try,0.761
karlkonz-exploring-the-titanic-dataset-with-r,0.768
divy44-titanic1,0.648
dalilamachado-titanic-teste,0.768
aer503-svm-for-titanic,0.737
qianbi-titanic-svm,0.754
jasonhit-first-script-for-kaggle-titanic,0.758
hisnibs-titanic-enhancing-the-training-data-and-kis,0.78
arpitr-titanic-survival,0.751
divyasshree-titanic-ml-club,0.713
brirush-svm-for-titanic,0.737
kasturimitra-titanic,0.758
cganxs-is-62-the-right-titanic-model-threshold,0.792
jaimisk-titanic-survival-logistic-regression,0.746
monikapeteva-predictive-analysis-of-survival-rate-on-titanic,0.758
seajaye-titanic-logistic-regression-0-78947,0.763
researchbigd-titanic-r-researchbigd,0.758
andrecn-random-forest-caret-model-prediction-titanic,0.761
pavani2018-titanicr-random-forests,0.751
dleprovost-simple-titanic-exploration,0.763
wtjw1993-predicting-survival-on-the-titanic,0.754
qianbi-titanic-voting,0.737
waithira-titanic-analysis-with-r,0.761
karnakarthoorpu-titanicanalysis-r,0.648
lizpund-titanic-competition-kernel,0.648
bubblride-titanic-e1071-c-svc-fares-only,0.667
imendoza-titanic-rf-prediction,0.763
benybrahim-best-titanic-benchmark,0.754
sherrywangjy-titanic-machine-learning-from-disaster,0.756
zhxiangxyang-titanic,0.756
mihaque313-first-submission-to-titanic-problem,0.744
vyordanov-titanic-disaster-logistic-regression-0-7655,0.749
skhawaja-titanic-disaster-survival-099,0.742
jkevin2010-improved-model-for-titanic-survival,0.754
athi94-a-beginner-s-stab-at-titanic,0.754
sandraezidiegwu-exploratoryanalysis-prediction-titanic,0.744
ashutoshds-titanic-rf-prediction-0-81818,0.763
nrutyam-predictions-on-titanic,0.758
djohnbar-the-titanic-using-knn,0.763
tsfitz-titanic,0.766
maza91-titanic-logistic-regression,0.749
z888888861-exploring-survival-on-the-titanic,0.744
rjhere23-predictive-analysis-of-survival-rate-on-titanic,0.758
qianbi-titanic-rpart-3,0.763
maitree-titanic-survival-list-using-random-forest,0.483
jnrahul92-titanic-analysis-using-logistic-regression,0.749
vishaljindal0-titanic-r-code,0.756
mailakshdeep-titanic-survival-prediction-r,0.751
analyticsdojo-titanic-baseline-models-analyticsdojo-r,0.648
jasminegoel-playing-with-titanic-dataset-r,0.732
aravind5-titanic,0.751
rhyando-r-embulan-titanic,0.722
brirush-titanic-nearest-neighbor-using-squared-correlation,0.734
macrosp-logistic-regression-titanic-dataset,0.737
ravihela-titanic-survival,0.758
haroldzhang-exploring-survival-on-the-titanic,0.749
mustfkeskin-titanic-xgboost,0.749
parthchaudhary-titanic-submission,0.746
salomao2005-titanic-new-view,0.758
qianbi-titanic-logistic,0.737
qianbi-titanic-rpart-2,0.761
researchbigd-titanic-forkedfrommeganscript,0.734
annafreydenzon-titanic-machine-learning-from-disaster,0.746
rajasekara-titanic-survival-prediction,0.763
nibedita84-my-first-kernel-titanic-survival-rate,0.756
monfilier-titanic-survival-prediction,0.744
quentinalais-kerneltitanicquentin,0.749
sociopath00-sociopath-titanic,0.766
chuckivan-titanic-logit,0.742
yizhouwang-exploring-survival-on-the-titanic,0.744
yugrao-titanic-n,0.744
yugrao-titanic2,0.751
qianbi-titanic-rpart,0.761
rhyando-r-embulan-titanic-notebook,0.722
yugrao-titanic,0.751
lagprophet-titanic,0.758
seshadrikolluri-predicting-survival-on-titanic,0.768
brirush-logistic-regression-for-titanic,0.754
juverstraeten-titanic-test-5-decision-tree-w-cabin,0.763
xliang-titanic-survival-prediction,0.749
phubert-mackenzie-bigdata-titanic-knn,0.574
peggy88-titanic-data-eda-by-peggy,0.758
arjunrampal-titanic-eda-rf,0.742
scout16-titanic-disaster-in-r,0.744
rtreit-kaggle-titanic-tutorial,0.778
xxxmatxxx-titanic-getting-started-with-randomforest,0.744
shridhar1991-randomforest-implementation-of-titanic,0.758
c34klh123-using-svm-to-predict-titanic-in-r,0.758
hongviet2002-exploring-survived-on-titanic,0.751
kapillehar-titanic-rf-prediction-0-81818,0.763
diegosiebra-rf-titanic-prediction-th3one,0.761
dheerajgoudborlla-exploring-survival-on-the-titanic,0.744
jkevin2010-titanic-survival-using-decision-trees,0.758
chuanhuiliu-one-solution-to-titanic-survival-analysis,0.761
dineshary-exploring-survival-on-the-titanic,0.744
djohnbar-titanic-rf,0.758
naveennafee-titanic-survival,0.749
phubert-titanic-mackenzie-aula07,0.778
byrony-titanic-majority-vote-of-ridge-rf-and-gbm,0.758
hillabehar-titanic-analysis-with-r,0.768
mattrb-titanic,0.751
jaredcross-simple-regression-titanic,0.744
jeetranjeet619-titanic-xgboost-example-in-r,0.725
ilijaf-titanic,0.756
mrstepanovic-using-random-forests-to-identify-titanic-survivors,0.758
cnusapbo-titanic-r-code,0.746
ivanbaj-part-2-titanic-encounters-vowpal-wabbit-and-r,0.352
alediator-exploring-survival-on-the-titanic,0.761
jerlinraj-titanic-machine-learning-from-disaster,0.744
behindthelines-survival-on-the-titanic-with-decision-trees,0.763
aravind5-kaggle-titanic,0.751
maitree-titanic-survival-list-using-classification,0.746
devanshugupta27-predicting-the-titanic-survival-rate,0.754
haroldzhang-titanic-ace233,0.77
